DivisionNm,OTH,ALP,LNP,PartyAb,Year
LYNE,52.12847341,13.48641237,34.38511422,OTH,2010
LYONS,18.39860087,48.91491141,32.68648772,ALP,2010
MACARTHUR,14.04421825,38.5547869,47.40099485,LNP,2010
MACKELLAR,16.77267509,21.10332951,62.12399541,LNP,2010
MACQUARIE,23.17258738,32.35970482,44.4677078,LNP,2010
MAKIN,19.2167353,50.58369411,30.19957059,ALP,2010
MALLEE,13.32793145,19.88631481,66.78575375,LNP,2010
MARANOA,14.51259395,19.9644271,65.52297894,LNP,2010
MARIBYRNONG,15.54876456,55.37794494,29.0732905,ALP,2010
MAYO,28.21453054,25.0231222,46.76234726,LNP,2010
MCEWEN,16.82000247,43.16934172,40.01065581,ALP,2010
MCMAHON,12.49311295,51.25594791,36.25093914,ALP,2010
MCMILLAN,15.15772128,35.56026365,49.28201507,LNP,2010
MCPHERSON,17.23682862,28.86172612,53.90144526,LNP,2010
MELBOURNE,40.91148253,38.08702856,21.00148891,OTH,2010
MELBOURNE PORTS,24.0188161,38.18747716,37.79370675,ALP,2010
MENZIES,14.27612223,32.09136523,53.63251254,LNP,2010
MITCHELL,11.00932771,26.33018429,62.660488,LNP,2010
MONCRIEFF,14.66948425,23.47751436,61.85300139,LNP,2010
MOORE,19.47252533,26.37130032,54.15617435,LNP,2010
MORETON,20.58623965,36.01080694,43.4029534,ALP,2010
MURRAY,11.63157372,23.392263,64.97616328,LNP,2010
NEW ENGLAND,66.65094547,8.131882596,25.21717194,OTH,2010
NEWCASTLE,20.77863452,47.89053731,31.33082817,ALP,2010
NORTH SYDNEY,18.16495351,22.12253089,59.71251561,LNP,2010
O'CONNOR,15.67709355,17.11364974,67.20925672,LNP,2010
OXLEY,16.94019627,44.71300361,38.34680012,ALP,2010
PAGE,11.80314813,45.7263656,42.47048627,ALP,2010
PARKES,19.50186661,21.26372096,59.23441244,LNP,2010
PARRAMATTA,14.82436763,44.45778056,40.71785181,ALP,2010
PATERSON,10.0271928,38.43818211,51.53462509,LNP,2010
PEARCE,18.03130682,29.51895322,52.44973996,LNP,2010
PERTH,21.07638975,40.1875452,38.73606504,ALP,2010
PETRIE,17.15075166,42.79110576,40.05814258,ALP,2010
PORT ADELAIDE,22.26844732,53.81559876,23.91595393,ALP,2010
RANKIN,17.74950268,45.15257291,37.09792441,ALP,2010
REID,15.38277993,41.50675642,43.11046366,ALP,2010
RICHMOND,20.51833983,39.18970743,40.29195274,ALP,2010
RIVERINA,16.48501517,22.22891498,61.28606985,LNP,2010
ROBERTSON,16.70357741,39.76400558,43.53241701,ALP,2010
RYAN,29.25511602,25.01740908,45.7274749,LNP,2010
SCULLIN,13.76669186,62.11892164,24.1143865,ALP,2010
SHORTLAND,13.10190771,53.73956255,33.15852974,ALP,2010
SOLOMON,17.55436062,36.0781851,46.36745427,LNP,2010
STIRLING,18.22546429,31.86820003,49.90633568,LNP,2010
STURT,15.71954466,36.2337883,48.04666704,LNP,2010
